Marca;Modelo;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;Total
ZANELLA;        ZANELLA STYLER 150 CRUISER;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;4
ZANELLA;        ZANELLA RX 150 G3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ZANELLA;        ZANELLA STYLER 150 RS;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;3
ZANELLA;        ZANELLA PATAGONIAN EAGLE 350;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
ZANELLA;        ZANELLA RZ 25;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
ZANELLA;        ZANELLA CECCATO V 250 I;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
ZANELLA;        ZANELLA 50 V3 KS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA CICLOMOTOR 50V3 KS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA PONDEROSA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA TURISMO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA V3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA ZANELLA ESPECIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA 125 RUTERA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA CECCATO 250 X;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA RX 150 NEXT;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA RB 200;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA RX 150 G3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
ZANELLA;        ZANELLA TRICARGO 4 TIEMPOS;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
ZANELLA;        ZANELLA E STYLER;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
ZANELLA;        ZANELLA CECCATO V 250 I;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
ZANELLA;        ZANELLA MOD;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
ZANELLA;        ZANELLA RX 200;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
YAMAHA;        YAMAHA T110;426;373;446;371;288;160;104;117;69;86;46;48;37;39;26;2.636
YAMAHA;        YAMAHA YBR 125 Z;68;91;211;174;188;141;180;197;133;173;190;121;108;67;43;2.085
YAMAHA;        YAMAHA YBR 125 ED;822;354;311;139;117;42;47;42;30;38;26;27;14;11;6;2.026
YAMAHA;        YAMAHA FZ-S FI V3.0;0;0;0;0;0;1;56;137;119;227;418;357;273;192;155;1.935
YAMAHA;        YAMAHA XTZ 125 E;0;0;0;0;0;0;0;207;201;257;299;195;211;152;85;1.607
YAMAHA;        YAMAHA FZ FI;217;133;156;144;133;90;77;88;71;76;77;34;40;38;13;1.387
YAMAHA;        YAMAHA RAY ZR 125 FI;53;35;72;66;77;55;42;41;42;97;180;126;149;88;84;1.207
YAMAHA;        YAMAHA FZ 25;91;74;78;103;173;53;59;102;51;65;60;37;17;17;8;988
YAMAHA;        YAMAHA XTZ 125 E;214;123;155;117;98;78;118;0;0;0;0;0;0;0;0;903
YAMAHA;        YAMAHA FASCINO 125 FI;0;55;0;55;60;43;49;73;60;112;95;61;74;71;54;862
YAMAHA;        YAMAHA FZ-S FI D;123;117;161;105;70;41;19;29;22;32;20;16;9;11;9;784
YAMAHA;        YAMAHA NMAX CONNECTED;0;0;6;79;59;71;48;48;64;98;70;28;45;29;43;688
YAMAHA;        YAMAHA FZ25 ABS;0;0;0;0;0;0;0;10;24;53;64;59;59;52;24;345
YAMAHA;        YAMAHA XTZ 250 ABS;45;24;20;25;17;19;15;16;11;21;14;8;7;11;12;265
YAMAHA;        YAMAHA CYGNUS RAY ZR;63;33;35;26;9;15;2;5;3;11;2;2;4;2;1;213
YAMAHA;        YAMAHA FASCINO 125 FI;84;0;70;0;0;0;0;0;0;0;0;0;0;0;0;154
YAMAHA;        YAMAHA MT03 ABS;0;0;0;0;0;0;16;42;37;17;6;4;10;4;6;142
YAMAHA;        YAMAHA YBR Z;0;0;0;0;0;0;0;0;0;0;0;0;1;45;81;127
YAMAHA;        YAMAHA YFM 700 R;18;0;0;2;6;4;7;19;20;0;0;25;0;14;0;115
YAMAHA;        YAMAHA YFM 700 R;0;0;0;0;0;0;0;0;0;31;21;0;28;0;13;93
YAMAHA;        YAMAHA NM-X 155;33;11;4;4;1;1;1;2;3;1;0;1;1;0;0;63
YAMAHA;        YAMAHA MT 03A;4;1;7;2;1;5;6;3;3;2;0;1;0;0;0;35
